season,scheduled_date,attendance,market,name,team_code,team_id,alias,current_division,points_game,win,opp_market,opp_name,opp_code,opp_id,opp_alias,opp_current_division,opp_points_game,venue_capacity,opp_venue_capacity
2009,07-DEC-09 12:00 AM,5194.0,Michigan State University,Spartans,416,a41d5a05-4c11-4171-a57e-e7a1ea325a6d,a41d5a05-4c11-4171-a57e-e7a1ea325a6d,D1,69,true,The Citadel,Bulldogs,141,412e7f0d-fb93-4e6e-be1f-9a4c7490d121,CIT,D1,56,16280,6000
2006,12-NOV-06 12:00 AM,14759.0,Michigan State University,Spartans,416,a41d5a05-4c11-4171-a57e-e7a1ea325a6d,a41d5a05-4c11-4171-a57e-e7a1ea325a6d,D1,73,true,The Citadel,Bulldogs,141,412e7f0d-fb93-4e6e-be1f-9a4c7490d121,CIT,D1,41,16280,6000
2008,17-DEC-08 12:00 AM,14759.0,Michigan State University,Spartans,416,a41d5a05-4c11-4171-a57e-e7a1ea325a6d,a41d5a05-4c11-4171-a57e-e7a1ea325a6d,D1,79,true,The Citadel,Bulldogs,141,412e7f0d-fb93-4e6e-be1f-9a4c7490d121,CIT,D1,65,16280,6000
2014,22-DEC-14 12:00 AM,14797.0,Michigan State University,Spartans,416,a41d5a05-4c11-4171-a57e-e7a1ea325a6d,a41d5a05-4c11-4171-a57e-e7a1ea325a6d,D1,82,true,The Citadel,Bulldogs,141,412e7f0d-fb93-4e6e-be1f-9a4c7490d121,CIT,D1,56,16280,6000
2006,29-NOV-06 12:00 AM,8606.0,Michigan State University,Spartans,416,a41d5a05-4c11-4171-a57e-e7a1ea325a6d,a41d5a05-4c11-4171-a57e-e7a1ea325a6d,D1,58,false,Boston College,Eagles,67,4b3ff02c-e0ba-435b-a565-6075bc491684,BC,D1,65,16280,8606
2005,06-DEC-05 12:00 AM,14759.0,Michigan State University,Spartans,416,a41d5a05-4c11-4171-a57e-e7a1ea325a6d,a41d5a05-4c11-4171-a57e-e7a1ea325a6d,D1,77,true,Boston College,Eagles,67,4b3ff02c-e0ba-435b-a565-6075bc491684,BC,D1,70,16280,8606
2015,26-NOV-15 12:00 AM,2341.0,Michigan State University,Spartans,416,a41d5a05-4c11-4171-a57e-e7a1ea325a6d,a41d5a05-4c11-4171-a57e-e7a1ea325a6d,D1,99,true,Boston College,Eagles,67,4b3ff02c-e0ba-435b-a565-6075bc491684,BC,D1,68,16280,8606
2010,01-DEC-10 12:00 AM,9314.0,Michigan State University,Spartans,416,a41d5a05-4c11-4171-a57e-e7a1ea325a6d,a41d5a05-4c11-4171-a57e-e7a1ea325a6d,D1,79,false,Duke University,Blue Devils,193,faeb1160-5d15-4f26-99fc-c441cf21fc7f,DUKE,D1,84,16280,9314
2003,03-DEC-03 12:00 AM,14759.0,Michigan State University,Spartans,416,a41d5a05-4c11-4171-a57e-e7a1ea325a6d,a41d5a05-4c11-4171-a57e-e7a1ea325a6d,D1,50,false,Duke University,Blue Devils,193,faeb1160-5d15-4f26-99fc-c441cf21fc7f,DUKE,D1,72,16280,9314
2014,04-APR-15 12:00 AM,72238.0,Michigan State University,Spartans,416,a41d5a05-4c11-4171-a57e-e7a1ea325a6d,a41d5a05-4c11-4171-a57e-e7a1ea325a6d,D1,61,false,Duke University,Blue Devils,193,faeb1160-5d15-4f26-99fc-c441cf21fc7f,DUKE,D1,81,16280,9314
